parameter_value,log_likelihood
19.999999999999996,-0.2573520293051672
21.01513277306439,-0.000724414730239431
22.081790273476244,-0.003562961323758884
23.202587723203244,-0.0029758877578345277
24.380273084089502,-0.0080080382802592
25.61773379528545,-0.0027219445846142776
26.918003852647114,-0.0008857802587129981
28.2842712474619,-0.0005477648388136913
29.71988578273897,0.0
31.228367286228398,-0.0034041192298381873
32.81341424030552,-0.0020968394755840336
34.478912849879116,-0.0009626021118691597
36.22894657055627,-0.0011751788199134694
38.06780612042478,-0.005152420779978684
40.0,-0.017436493331899783
