parameter_value,log_likelihood
0.010000000000000004,-1.2334424407051543
0.010816334003527656,-0.7910191835181237
0.011699308127586865,-0.47867359964214273
0.012654362431816545,-0.25095324755541526
0.013687381066422016,-0.09712690156031556
0.014804728524798114,-0.017418570454211135
0.016013288855576974,-0.0044278230975649535
0.017320508075688777,-0.005009218379299796
0.018734440045744795,-0.000996701311230197
0.020263796090383965,-0.0008136880392726198
0.021917998669297094,-0.0005449056338484581
0.023707239429599215,0.0
0.02564254199721457,-0.002761260901422702
0.027735829894135793,-0.001541643458427444
0.029999999999999995,-0.0012458937280825921
