ratio_value,log_likelihood
0.00025,-21.44663516813494
0.0003392857142857143,-4.370319453151929
0.0004285714285714285,-2.043454090428611
0.0005178571428571427,-0.9366739450582173
0.000607142857142857,-0.3509631986510158
0.0006964285714285713,-0.07149859252427149
0.0007857142857142854,0.0
0.0008749999999999997,-0.03422396081046486
0.000964285714285714,-0.18481448522977928
0.0010535714285714282,-0.561947151751113
0.0011428571428571425,-1.1404701926136838
0.0012321428571428568,-1.938531101074119
0.0013214285714285708,-2.547920926939355
0.0014107142857142851,-3.642474618205412
0.0014999999999999994,-5.526403105853376
